Id,Age,Income,Home,Emp_length,Intent, Amount ,Rate,Status,Percent_income,Default,Cred_length
32314,51,16800,OWN,3,PERSONAL," 1,000.00 ",11.11,0,0.06,N,22
897,24,16800,RENT,,VENTURE," 1,000.00 ",11.49,0,0.06,N,3
898,22,16800,RENT,2,EDUCATION," 1,000.00 ",13.48,0,0.06,Y,4
18512,27,17000,RENT,1,VENTURE," 1,000.00 ",7.29,0,0.06,N,5
29256,38,17280,OWN,0,HOMEIMPROVEMENT," 1,000.00 ",16.29,0,0.06,N,11
32196,38,17280,OWN,0,VENTURE," 1,000.00 ",16.29,0,0.06,Y,13
410,22,17400,MORTGAGE,6,VENTURE," 1,000.00 ",11.36,0,0.06,N,2
18513,28,18000,RENT,0,PERSONAL," 1,000.00 ",13.49,1,0.06,N,8
29350,47,18000,RENT,0,HOMEIMPROVEMENT," 1,000.00 ",14.84,1,0.06,Y,16
32328,51,18408,RENT,,PERSONAL," 1,000.00 ",14.65,1,0.05,Y,20
899,24,19200,RENT,2,EDUCATION," 1,000.00 ",12.53,0,0.05,N,4
547,25,19200,OWN,2,VENTURE," 1,000.00 ",,0,0.05,N,3
18514,29,20000,RENT,0,PERSONAL," 1,000.00 ",10.65,0,0.05,N,10
1325,21,20000,RENT,2,DEBTCONSOLIDATION," 1,000.00 ",14.26,0,0.05,Y,2
18366,31,20500,MORTGAGE,4,HOMEIMPROVEMENT," 1,000.00 ",6.76,0,0.05,N,6
28713,31,20500,MORTGAGE,4,DEBTCONSOLIDATION," 1,000.00 ",6.76,0,0.05,N,5
18749,28,21000,RENT,3,PERSONAL," 1,000.00 ",7.49,0,0.05,N,9
763,26,21600,MORTGAGE,0,HOMEIMPROVEMENT," 1,000.00 ",10.36,0,0.05,N,3
29415,42,22000,RENT,,DEBTCONSOLIDATION," 1,000.00 ",7.29,0,0.05,N,13
18750,27,22296,RENT,5,PERSONAL," 1,000.00 ",14.84,0,0.04,N,5
15373,24,22320,OWN,4,MEDICAL," 1,000.00 ",16.32,1,0.04,N,2
18751,30,22800,RENT,5,PERSONAL," 1,000.00 ",11.49,0,0.04,N,5
1330,25,23712,RENT,9,MEDICAL," 1,000.00 ",11.49,0,0.04,N,2
18754,29,24000,RENT,0,MEDICAL," 1,000.00 ",9.99,0,0.04,N,7
1333,21,24000,RENT,0,MEDICAL," 1,000.00 ",10.99,1,0.04,N,2
1334,22,24000,RENT,3,DEBTCONSOLIDATION," 1,000.00 ",12.84,0,0.04,Y,4
16779,22,24000,RENT,3,PERSONAL," 1,000.00 ",12.84,0,0.04,Y,3
18753,33,24000,RENT,,MEDICAL," 1,000.00 ",14.91,1,0.04,Y,5
28985,33,24000,RENT,,DEBTCONSOLIDATION," 1,000.00 ",14.91,1,0.04,Y,10
18752,30,24000,RENT,,MEDICAL," 1,000.00 ",15.96,0,0.04,Y,7
1331,24,24000,RENT,1,PERSONAL," 1,000.00 ",17.99,1,0.04,N,3
1335,21,24960,RENT,0,EDUCATION," 1,000.00 ",13.98,0,0.04,N,4
1209,21,25000,MORTGAGE,6,PERSONAL," 1,000.00 ",7.51,0,0.04,N,3
29416,38,25000,RENT,1,EDUCATION," 1,000.00 ",8,0,0.04,N,16
18677,34,25000,MORTGAGE,1,DEBTCONSOLIDATION," 1,000.00 ",9.63,0,0.04,N,6
1336,26,25000,RENT,1,MEDICAL," 1,000.00 ",14.65,0,0.04,Y,3
1337,22,25000,RENT,3,DEBTCONSOLIDATION," 1,000.00 ",15.95,1,0.04,N,2
18758,29,25200,RENT,3,MEDICAL," 1,000.00 ",10.25,0,0.04,N,5
1278,23,25200,OWN,3,EDUCATION," 1,000.00 ",11.48,0,0.04,N,4
1279,22,25200,MORTGAGE,0,MEDICAL," 1,000.00 ",11.48,1,0.04,N,3
18760,33,26400,RENT,3,MEDICAL," 1,000.00 ",10.99,0,0.04,N,7
1395,22,26400,MORTGAGE,,PERSONAL," 1,000.00 ",,1,0.04,N,2
1436,24,26650,MORTGAGE,6,MEDICAL," 1,000.00 ",12.53,0,0.04,N,2
1456,23,27000,MORTGAGE,0,HOMEIMPROVEMENT," 1,000.00 ",15.99,1,0.04,Y,3
29418,36,27600,RENT,0,EDUCATION," 1,000.00 ",11.49,0,0.04,N,12
14725,21,27600,OWN,3,EDUCATION," 1,000.00 ",15.27,0,0.04,Y,2
17353,21,27600,OWN,3,EDUCATION," 1,000.00 ",15.27,0,0.04,Y,3
1342,25,28000,RENT,6,DEBTCONSOLIDATION," 1,000.00 ",7.51,0,0.04,N,3
1344,22,28000,RENT,6,HOMEIMPROVEMENT," 1,000.00 ",10.25,1,0.04,N,4
16168,22,28000,RENT,6,PERSONAL," 1,000.00 ",10.25,1,0.04,N,3
1345,24,28000,RENT,8,MEDICAL," 1,000.00 ",12.53,0,0.04,N,4
1600,21,28000,MORTGAGE,2,EDUCATION," 1,000.00 ",12.99,0,0.04,Y,4
1341,22,28000,RENT,0,HOMEIMPROVEMENT," 1,000.00 ",16.29,1,0.04,Y,3
1650,25,28176,OWN,3,MEDICAL," 1,000.00 ",9.63,0,0.04,N,4
1346,23,28600,RENT,7,EDUCATION," 1,000.00 ",7.9,0,0.03,N,3
1711,25,28800,MORTGAGE,,EDUCATION," 1,000.00 ",5.42,0,0.03,N,3
29419,41,28800,RENT,2,EDUCATION," 1,000.00 ",,0,0.03,N,13
1347,22,29000,RENT,4,VENTURE," 1,000.00 ",7.29,0,0.03,N,4
1349,26,29000,RENT,2,MEDICAL," 1,000.00 ",7.74,0,0.03,N,4
1374,26,29000,RENT,1,EDUCATION," 1,000.00 ",11.28,1,0.03,N,3
17343,25,29000,RENT,9,MEDICAL," 1,000.00 ",11.99,1,0.03,N,2
18762,35,29311,RENT,,EDUCATION," 1,000.00 ",7.49,0,0.03,N,9
18763,27,30000,RENT,1,EDUCATION," 1,000.00 ",5.79,0,0.03,N,10
1889,23,30000,MORTGAGE,4,DEBTCONSOLIDATION," 1,000.00 ",6.62,1,0.03,N,3
2122,23,30000,MORTGAGE,5,MEDICAL," 1,000.00 ",7.4,0,0.03,N,2
1352,23,30000,RENT,,VENTURE," 1,000.00 ",7.49,0,0.03,N,3
1350,24,30000,RENT,0,EDUCATION," 1,000.00 ",7.51,0,0.03,N,2
2137,24,30000,MORTGAGE,2,EDUCATION," 1,000.00 ",8,0,0.03,N,2
18765,31,30000,RENT,5,MEDICAL," 1,000.00 ",9.25,0,0.03,N,6
3399,23,30000,MORTGAGE,0,HOMEIMPROVEMENT," 1,000.00 ",9.32,1,0.03,N,4
1356,26,30000,RENT,2,EDUCATION," 1,000.00 ",9.63,0,0.03,N,3
1351,21,30000,RENT,0,EDUCATION," 1,000.00 ",10.99,0,0.03,N,4
16581,21,30000,RENT,0,MEDICAL," 1,000.00 ",10.99,0,0.03,N,2
2020,23,30000,MORTGAGE,0,DEBTCONSOLIDATION," 1,000.00 ",13.72,0,0.03,N,4
29521,45,30000,MORTGAGE,5,MEDICAL," 1,000.00 ",15.23,0,0.03,Y,11
32334,70,30000,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",17.49,1,0.03,Y,21
1354,21,30000,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",,0,0.03,N,3
18770,30,30000,RENT,11,MEDICAL," 1,000.00 ",,1,0.03,N,10
1359,25,30035,RENT,9,MEDICAL," 1,000.00 ",12.87,0,0.03,Y,2
26320,28,31000,OWN,0,HOMEIMPROVEMENT," 1,000.00 ",7.4,0,0.03,N,8
28073,28,31000,OWN,0,PERSONAL," 1,000.00 ",7.4,0,0.03,N,7
1383,23,31000,RENT,1,PERSONAL," 1,000.00 ",14.96,1,0.03,Y,3
2302,21,31200,MORTGAGE,2,EDUCATION," 1,000.00 ",14.59,0,0.03,N,2
3648,23,32000,MORTGAGE,,EDUCATION," 1,000.00 ",10.59,1,0.03,N,2
1386,24,32000,RENT,2,EDUCATION," 1,000.00 ",13.06,1,0.03,N,3
19292,27,32000,MORTGAGE,11,DEBTCONSOLIDATION," 1,000.00 ",16.29,1,0.03,Y,10
1384,25,32000,RENT,2,MEDICAL," 1,000.00 ",19.03,1,0.03,N,4
2472,23,32198,MORTGAGE,3,EDUCATION," 1,000.00 ",10.95,0,0.03,N,2
2479,22,32352,MORTGAGE,6,HOMEIMPROVEMENT," 1,000.00 ",15.27,1,0.03,Y,2
1362,25,33000,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",7.29,0,0.03,N,4
17224,25,33000,RENT,0,MEDICAL," 1,000.00 ",7.29,0,0.03,N,4
18766,30,33000,RENT,4,MEDICAL," 1,000.00 ",14.79,0,0.03,N,10
28498,30,33000,RENT,4,DEBTCONSOLIDATION," 1,000.00 ",14.79,0,0.03,Y,9
29606,40,33000,MORTGAGE,2,MEDICAL," 1,000.00 ",,0,0.03,N,16
32289,40,33000,MORTGAGE,2,HOMEIMPROVEMENT," 1,000.00 ",,0,0.03,N,15
29609,41,33240,OWN,,MEDICAL," 1,000.00 ",7.29,0,0.03,N,17
1363,21,33388,RENT,3,EDUCATION," 1,000.00 ",10.99,0,0.03,N,2
1367,23,33600,RENT,2,PERSONAL," 1,000.00 ",10.36,0,0.03,N,2
32333,54,33600,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",10.65,1,0.03,N,29
1368,25,33600,RENT,5,DEBTCONSOLIDATION," 1,000.00 ",11.86,0,0.03,N,2
1390,25,33600,RENT,0,EDUCATION," 1,000.00 ",15.57,1,0.03,Y,2
2697,23,33990,MORTGAGE,2,DEBTCONSOLIDATION," 1,000.00 ",10.59,1,0.03,N,2
1369,23,34000,RENT,0,MEDICAL," 1,000.00 ",7.37,0,0.03,N,4
1399,21,34500,RENT,4,DEBTCONSOLIDATION," 1,000.00 ",16.45,1,0.03,N,2
1370,23,34800,RENT,1,VENTURE," 1,000.00 ",11.99,0,0.03,N,4
1371,25,34800,RENT,0,MEDICAL," 1,000.00 ",13.98,0,0.03,Y,3
29420,46,35000,RENT,1,VENTURE," 1,000.00 ",7.9,0,0.03,N,12
18769,30,35000,RENT,5,PERSONAL," 1,000.00 ",10.36,0,0.03,N,6
1373,25,35000,RENT,9,VENTURE," 1,000.00 ",11.99,0,0.03,N,3
1372,22,35000,RENT,4,VENTURE," 1,000.00 ",,0,0.03,Y,3
1375,24,35100,RENT,8,VENTURE," 1,000.00 ",13.49,0,0.03,Y,4
1376,22,35100,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",13.98,0,0.03,N,2
16346,22,35100,RENT,0,EDUCATION," 1,000.00 ",13.98,0,0.03,Y,3
3090,25,35138,MORTGAGE,3,DEBTCONSOLIDATION," 1,000.00 ",,0,0.03,N,3
29718,44,36000,MORTGAGE,6,EDUCATION," 1,000.00 ",7.51,0,0.03,N,14
31933,44,36000,MORTGAGE,6,EDUCATION," 1,000.00 ",7.51,0,0.03,N,17
1382,22,36000,RENT,1,PERSONAL," 1,000.00 ",7.68,0,0.03,N,4
1380,22,36000,RENT,1,EDUCATION," 1,000.00 ",8.59,0,0.03,N,4
1379,22,36000,RENT,,MEDICAL," 1,000.00 ",9.88,0,0.03,N,3
3191,22,36000,MORTGAGE,6,MEDICAL," 1,000.00 ",9.99,0,0.03,N,3
19780,31,36000,MORTGAGE,,EDUCATION," 1,000.00 ",10.59,0,0.03,N,9
1378,23,36000,RENT,3,EDUCATION," 1,000.00 ",10.99,0,0.03,N,2
29723,44,36000,MORTGAGE,0,VENTURE," 1,000.00 ",11.48,0,0.03,N,15
3165,21,36000,MORTGAGE,5,MEDICAL," 1,000.00 ",12.42,0,0.03,N,2
16472,21,36000,MORTGAGE,5,MEDICAL," 1,000.00 ",12.42,0,0.03,N,2
4923,21,36588,MORTGAGE,5,DEBTCONSOLIDATION," 1,000.00 ",14.61,1,0.03,N,2
19941,28,37000,MORTGAGE,12,PERSONAL," 1,000.00 ",10.99,0,0.03,N,6
18771,29,38000,RENT,5,EDUCATION," 1,000.00 ",7.88,0,0.03,N,9
12696,24,38000,OWN,6,MEDICAL," 1,000.00 ",10.08,0,0.03,N,4
1385,26,38000,RENT,6,PERSONAL," 1,000.00 ",15.27,0,0.03,Y,3
3800,22,38400,MORTGAGE,,PERSONAL," 1,000.00 ",5.79,0,0.03,N,2
3763,25,38400,OWN,9,EDUCATION," 1,000.00 ",6.62,0,0.03,N,2
1389,21,38400,RENT,5,PERSONAL," 1,000.00 ",14.22,0,0.03,Y,3
29422,45,38400,RENT,4,DEBTCONSOLIDATION," 1,000.00 ",14.72,0,0.03,Y,12
1387,23,38400,RENT,6,EDUCATION," 1,000.00 ",,0,0.03,N,3
3882,21,39000,MORTGAGE,5,EDUCATION," 1,000.00 ",7.49,0,0.03,N,3
12435,22,39000,OWN,6,MEDICAL," 1,000.00 ",,0,0.03,N,3
17480,22,39000,OWN,6,MEDICAL," 1,000.00 ",,0,0.03,N,2
29423,40,39960,RENT,0,EDUCATION," 1,000.00 ",15.23,0,0.03,Y,14
1391,24,39996,RENT,2,EDUCATION," 1,000.00 ",7.49,0,0.03,N,3
1393,23,40000,RENT,2,EDUCATION," 1,000.00 ",6.03,0,0.03,N,2
1398,24,40000,RENT,4,EDUCATION," 1,000.00 ",6.76,0,0.03,N,4
4252,24,40000,OWN,6,VENTURE," 1,000.00 ",6.76,0,0.03,N,3
4394,24,40000,OWN,4,MEDICAL," 1,000.00 ",7.37,0,0.03,N,2
1392,22,40000,RENT,3,DEBTCONSOLIDATION," 1,000.00 ",7.9,0,0.03,N,4
18772,28,40000,RENT,12,PERSONAL," 1,000.00 ",9.88,0,0.03,N,9
29858,39,40000,OWN,4,VENTURE," 1,000.00 ",10.37,0,0.03,N,16
32259,39,40000,OWN,4,VENTURE," 1,000.00 ",10.37,0,0.03,N,16
1397,23,40000,RENT,3,VENTURE," 1,000.00 ",10.62,0,0.03,N,4
1394,24,40000,RENT,1,MEDICAL," 1,000.00 ",10.99,0,0.03,N,3
1400,22,40800,RENT,6,VENTURE," 1,000.00 ",6.91,0,0.02,N,2
1408,25,40800,RENT,,DEBTCONSOLIDATION," 1,000.00 ",15.57,1,0.02,N,2
4508,22,41000,OWN,0,PERSONAL," 1,000.00 ",6.99,0,0.02,N,2
16256,22,41000,OWN,0,PERSONAL," 1,000.00 ",6.99,0,0.02,N,2
29425,36,42000,RENT,21,HOMEIMPROVEMENT," 1,000.00 ",7.51,1,0.02,N,14
1401,22,42000,RENT,3,DEBTCONSOLIDATION," 1,000.00 ",9.62,0,0.02,N,3
18773,35,42000,RENT,7,MEDICAL," 1,000.00 ",11.12,0,0.02,N,5
4672,24,42000,MORTGAGE,8,PERSONAL," 1,000.00 ",11.49,0,0.02,N,4
1402,24,42000,RENT,2,VENTURE," 1,000.00 ",13.16,0,0.02,N,2
1410,21,42000,RENT,5,PERSONAL," 1,000.00 ",15.58,1,0.02,Y,4
17470,21,42000,RENT,5,VENTURE," 1,000.00 ",15.58,1,0.02,N,4
4931,23,42806,MORTGAGE,7,EDUCATION," 1,000.00 ",7.51,0,0.02,N,2
4938,23,42900,OWN,6,MEDICAL," 1,000.00 ",6.76,0,0.02,N,3
1403,23,43000,RENT,7,EDUCATION," 1,000.00 ",7.51,0,0.02,N,3
18775,31,43200,RENT,,MEDICAL," 1,000.00 ",10.74,0,0.02,N,9
29424,37,44000,RENT,14,EDUCATION," 1,000.00 ",5.42,0,0.02,N,13
18779,28,44000,RENT,9,VENTURE," 1,000.00 ",14.17,1,0.02,N,9
20950,28,44928,MORTGAGE,5,VENTURE," 1,000.00 ",13.06,0,0.02,Y,8
1406,24,45000,RENT,5,EDUCATION," 1,000.00 ",7.4,0,0.02,N,3
1405,21,45000,RENT,5,VENTURE," 1,000.00 ",7.49,0,0.02,N,3
1407,23,45000,RENT,0,EDUCATION," 1,000.00 ",14.26,0,0.02,Y,2
21123,35,45000,MORTGAGE,2,VENTURE," 1,000.00 ",,0,0.02,N,10
5646,23,45600,OWN,7,MEDICAL," 1,000.00 ",9.62,0,0.02,N,4
21214,27,45727,MORTGAGE,5,EDUCATION," 1,000.00 ",16.29,0,0.02,Y,9
28475,27,45727,MORTGAGE,5,VENTURE," 1,000.00 ",16.29,0,0.02,N,5
1409,22,48000,RENT,0,EDUCATION," 1,000.00 ",7.29,0,0.02,N,2
17651,22,48000,RENT,0,EDUCATION," 1,000.00 ",7.29,0,0.02,N,4
18778,33,48000,RENT,4,MEDICAL," 1,000.00 ",9.99,0,0.02,N,10
6067,25,48000,MORTGAGE,9,DEBTCONSOLIDATION," 1,000.00 ",13.49,0,0.02,Y,3
1411,25,49000,RENT,3,EDUCATION," 1,000.00 ",7.66,0,0.02,N,3
6527,22,50000,OWN,6,EDUCATION," 1,000.00 ",9.91,0,0.02,N,2
1412,21,50000,RENT,5,EDUCATION," 1,000.00 ",13.49,0,0.02,N,3
6856,24,50000,MORTGAGE,7,VENTURE," 1,000.00 ",14.42,0,0.02,N,3
21752,30,50000,MORTGAGE,14,MEDICAL," 1,000.00 ",,0,0.02,N,6
6922,24,50112,OWN,,PERSONAL," 1,000.00 ",5.42,0,0.02,N,2
6930,25,50300,MORTGAGE,3,HOMEIMPROVEMENT," 1,000.00 ",18.39,0,0.02,Y,3
1415,26,50400,RENT,1,PERSONAL," 1,000.00 ",5.42,0,0.02,N,3
1416,23,51000,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",7.14,0,0.02,N,2
30320,36,51000,MORTGAGE,2,VENTURE," 1,000.00 ",11.83,0,0.02,N,12
18780,27,51298,RENT,11,DEBTCONSOLIDATION," 1,000.00 ",10.37,0,0.02,N,7
28626,27,51298,RENT,11,VENTURE," 1,000.00 ",10.37,0,0.02,N,9
22058,32,52000,MORTGAGE,1,VENTURE," 1,000.00 ",6.99,0,0.02,N,7
32413,54,52000,MORTGAGE,5,PERSONAL," 1,000.00 ",10,0,0.02,N,26
22092,29,52000,OWN,13,VENTURE," 1,000.00 ",13.23,0,0.02,N,8
7408,22,53000,MORTGAGE,6,DEBTCONSOLIDATION," 1,000.00 ",15.27,0,0.02,Y,4
22212,29,53200,MORTGAGE,7,HOMEIMPROVEMENT," 1,000.00 ",13.49,0,0.02,Y,6
1417,26,54000,RENT,10,PERSONAL," 1,000.00 ",11.71,0,0.02,N,3
32335,55,54000,RENT,4,DEBTCONSOLIDATION," 1,000.00 ",13.99,1,0.02,N,27
18782,31,54000,RENT,15,MEDICAL," 1,000.00 ",,0,0.02,Y,7
7753,24,54870,OWN,3,VENTURE," 1,000.00 ",8.59,0,0.02,N,2
8010,22,55000,OWN,0,VENTURE," 1,000.00 ",8.59,0,0.02,N,3
32425,59,55000,MORTGAGE,15,PERSONAL," 1,000.00 ",10.59,0,0.02,N,29
7957,23,55000,OWN,7,VENTURE," 1,000.00 ",11.49,0,0.02,N,4
22541,30,55536,MORTGAGE,14,DEBTCONSOLIDATION," 1,000.00 ",,0,0.02,N,9
28870,30,55536,MORTGAGE,14,MEDICAL," 1,000.00 ",,0,0.02,N,7
1418,22,56000,RENT,6,EDUCATION," 1,000.00 ",11.49,0,0.02,N,2
22567,27,56000,OWN,7,VENTURE," 1,000.00 ",14.65,0,0.02,N,8
8415,23,57600,MORTGAGE,0,VENTURE," 1,000.00 ",,0,0.02,N,2
17571,23,57600,MORTGAGE,0,EDUCATION," 1,000.00 ",,0,0.02,N,2
1419,22,58000,RENT,6,EDUCATION," 1,000.00 ",11.26,0,0.02,N,3
23163,29,60000,OWN,13,VENTURE," 1,000.00 ",6.76,0,0.02,N,8
9227,22,60000,MORTGAGE,2,EDUCATION," 1,000.00 ",9.63,0,0.02,N,3
8758,22,60000,OWN,6,MEDICAL," 1,000.00 ",10.99,0,0.02,N,2
29426,38,61000,RENT,0,PERSONAL," 1,000.00 ",9.45,0,0.02,N,17
32093,38,61000,RENT,0,EDUCATION," 1,000.00 ",9.45,0,0.02,N,12
23417,27,62400,MORTGAGE,11,VENTURE," 1,000.00 ",5.42,0,0.02,N,7
1420,26,64000,RENT,,DEBTCONSOLIDATION," 1,000.00 ",10.75,0,0.02,N,3
17186,26,64000,RENT,,DEBTCONSOLIDATION," 1,000.00 ",10.75,0,0.02,N,2
18784,29,64548,RENT,1,PERSONAL," 1,000.00 ",14.27,0,0.02,Y,5
18785,33,65000,RENT,4,VENTURE," 1,000.00 ",,0,0.02,N,9
10333,24,66996,MORTGAGE,8,MEDICAL," 1,000.00 ",9.32,0,0.01,N,4
23923,27,67500,MORTGAGE,0,DEBTCONSOLIDATION," 1,000.00 ",7.4,0,0.01,N,7
10512,23,68000,MORTGAGE,4,EDUCATION," 1,000.00 ",8,0,0.01,N,3
17331,23,68000,MORTGAGE,4,EDUCATION," 1,000.00 ",8,0,0.01,N,4
24532,32,68000,MORTGAGE,6,EDUCATION," 1,000.00 ",14.72,1,0.01,Y,9
1422,23,69000,RENT,0,MEDICAL," 1,000.00 ",7.29,0,0.01,N,3
10603,22,69000,MORTGAGE,4,EDUCATION," 1,000.00 ",7.4,0,0.01,N,2
18790,30,69000,RENT,0,HOMEIMPROVEMENT," 1,000.00 ",8.59,1,0.01,N,5
10639,23,69743,MORTGAGE,7,PERSONAL," 1,000.00 ",14.11,0,0.01,N,3
17587,23,69743,MORTGAGE,7,VENTURE," 1,000.00 ",14.11,0,0.01,N,2
24163,27,70000,MORTGAGE,11,DEBTCONSOLIDATION," 1,000.00 ",6.54,0,0.01,N,5
10710,25,70000,MORTGAGE,9,PERSONAL," 1,000.00 ",12.69,0,0.01,N,2
1423,24,70399,RENT,0,DEBTCONSOLIDATION," 1,000.00 ",8.59,0,0.01,N,2
17417,24,70399,RENT,0,MEDICAL," 1,000.00 ",8.59,0,0.01,N,3
10998,26,70885,MORTGAGE,10,DEBTCONSOLIDATION," 1,000.00 ",6.39,0,0.01,N,4
24437,29,72000,MORTGAGE,9,HOMEIMPROVEMENT," 1,000.00 ",7.68,0,0.01,N,6
1424,22,72000,RENT,3,EDUCATION," 1,000.00 ",7.88,0,0.01,N,3
11092,24,72000,MORTGAGE,2,EDUCATION," 1,000.00 ",15.23,0,0.01,Y,3
18786,28,73000,RENT,3,HOMEIMPROVEMENT," 1,000.00 ",,0,0.01,N,7
28565,28,73000,RENT,3,DEBTCONSOLIDATION," 1,000.00 ",,0,0.01,N,7
11326,23,73164,MORTGAGE,7,VENTURE," 1,000.00 ",10.36,0,0.01,N,2
18787,29,74000,RENT,11,DEBTCONSOLIDATION," 1,000.00 ",9.91,0,0.01,N,5
11545,25,75000,MORTGAGE,9,VENTURE," 1,000.00 ",9.99,0,0.01,N,4
1426,23,75000,RENT,0,PERSONAL," 1,000.00 ",13.23,0,0.01,Y,3
18788,27,75000,RENT,4,VENTURE," 1,000.00 ",13.49,0,0.01,Y,9
18791,35,76000,RENT,2,VENTURE," 1,000.00 ",13.49,0,0.01,N,8
28192,35,76000,RENT,2,PERSONAL," 1,000.00 ",13.49,0,0.01,N,8
24865,29,77367,OWN,12,EDUCATION," 1,000.00 ",7.37,0,0.01,N,9
11986,23,78000,MORTGAGE,7,EDUCATION," 1,000.00 ",9.88,0,0.01,N,3
12400,25,80400,MORTGAGE,9,DEBTCONSOLIDATION," 1,000.00 ",5.42,0,0.01,N,3
12483,26,82000,MORTGAGE,5,EDUCATION," 1,000.00 ",14.27,0,0.01,Y,2
31263,36,84000,MORTGAGE,14,VENTURE," 1,000.00 ",7.51,0,0.01,N,16
